259	山	山	shān	shan	1
260	金	金	jīn	jin	1
261	指	指	zhǐ	zhi	3
262	克	克	kè	ke	4
263	许	許	xǔ	xu	3
264	统	統	tǒng	tong	3
265	区	區	qū	qu	1
266	保	保	bǎo	bao	3
267	至	至	zhì	zhi	4
268	队	隊	duì	dui	4
269	形	形	xíng	xing	2
270	社	社	shè	she	4
271	便	便	biàn	bian	4
272	空	空	kōng	kong	1
273	决	決	jué	jue	2
274	治	治	zhì	zhi	4
275	展	展	zhǎn	zhan	3
276	马	馬	mǎ	ma	3
277	科	科	kē	ke	1
278	司	司	sī	si	1
279	五	五	wǔ	wu	3
280	基	基	jī	ji	1
281	眼	眼	yǎn	yan	3
282	书	書	shū	shu	1
283	非	非	fēi	fei	1
284	则	則	zé	ze	2
285	听	聽	tīng	ting	1
286	白	白	bái	bai	2
287	却	卻	què	que	4
288	界	界	jiè	jie	4
289	达	達	dá	da	2
290	光	光	guāng	guang	1
291	放	放	fàng	fang	4
292	强	強	qiáng	qiang	2
293	即	即	jí	ji	2
294	像	像	xiàng	xiang	4
295	难	難	nán	nan	2
296	且	且	qiě	qie	3
297	权	權	quán	quan	2
298	思	思	sī	si	1
299	王	王	wáng	wang	2
300	象	象	xiàng	xiang	4
301	完	完	wán	wan	2
302	设	設	shè	she	4
303	式	式	shì	shi	4
304	色	色	sè	se	4
305	路	路	lù	lu	4
306	记	記	jì	ji	4
307	南	南	nán	nan	2
308	品	品	pǐn	pin	3
309	住	住	zhù	zhu	4
310	告	告	gào	gao	4
311	类	類	lèi	lei	4
312	求	求	qiú	qiu	2
313	据	據	jù	ju	4
314	程	程	chéng	cheng	2
315	北	北	běi	bei	3
316	边	邊	biān	bian	1
317	死	死	sǐ	si	3
318	张	張	zhāng	zhang	1
319	该	該	gāi	gai	1
320	交	交	jiāo	jiao	1
321	规	規	guī	gui	1
322	万	萬	wàn	wan	4
323	取	取	qǔ	qu	3
324	拉	拉	lā	la	1
325	格	格	gé	ge	2
326	望	望	wàng	wang	4
327	觉	覺	jué	jue	2
328	术	術	shù	shu	4
329	领	領	lǐng	ling	3
330	共	共	gòng	gong	4
331	确	確	què	que	4
332	传	傳	chuán	chuan	2
333	师	師	shī	shi	1
334	观	觀	guān	guan	1
335	清	清	qīng	qing	1
336	今	今	jīn	jin	1
337	切	切	qiè	qie	4
338	院	院	yuàn	yuan	4
339	让	讓	ràng	rang	4
340	识	識	shí	shi	2
341	候	候	hòu	hou	4
342	带	帶	dài	dai	4
343	导	導	dǎo	dao	3
344	争	爭	zhēng	zheng	1
345	运	運	yùn	yun	4
346	笑	笑	xiào	xiao	4
347	飞	飛	fēi	fei	1
348	风	風	fēng	feng	1
349	步	步	bù	bu	4
350	改	改	gǎi	gai	3
351	收	收	shōu	shou	1
352	根	根	gēn	gen	1
353	干	幹	gàn	gan	4
354	造	造	zào	zao	4
355	言	言	yán	yan	2
356	联	聯	lián	lian	2
357	持	持	chí	chi	2
358	组	組	zǔ	zu	3
359	每	每	měi	mei	3
360	济	濟	jì	ji	4
361	车	車	chē	che	1
362	亲	親	qīn	qin	1
363	极	極	jí	ji	2
364	林	林	lín	lin	2
365	服	服	fú	fu	2
366	快	快	kuài	kuai	4
367	办	辦	bàn	ban	4
368	议	議	yì	yi	4
369	往	往	wǎng	wang	3
370	元	元	yuán	yuan	2
371	英	英	yīng	ying	1
372	士	士	shì	shi	4
373	证	證	zhèng	zheng	4
374	近	近	jìn	jin	4
375	失	失	shī	shi	1
376	转	轉	zhuǎn	zhuan	3
377	夫	夫	fū	fu	1
378	令	令	lìng	ling	4
379	准	準	zhǔn	zhun	3
380	布	布	bù	bu	4
381	始	始	shǐ	shi	3
382	怎	怎	zěn	zen	3
383	呢	呢	ne	ne	5
384	存	存	cún	cun	2
385	未	未	wèi	wei	4
386	远	遠	yuǎn	yuan	3
387	叫	叫	jiào	jiao	4
388	台	臺	tái	tai	2
389	单	單	dān	dan	1
390	影	影	yǐng	ying	3
391	具	具	jù	ju	4
392	罗	羅	luō	luo	1
393	字	字	zì	zi	4
394	爱	愛	ài	ai	4
395	击	擊	jī	ji	1
396	流	流	liú	liu	2
397	备	備	bèi	bei	4
398	兵	兵	bīng	bing	1
399	连	連	lián	lian	2
400	调	調	diào	diao	4
401	深	深	shēn	shen	1
402	商	商	shāng	shang	1
403	算	算	suàn	suan	4
404	质	質	zhì	zhi	4
405	团	團	tuán	tuan	2
406	集	集	jí	ji	2
407	百	百	bǎi	bai	3
408	需	需	xū	xu	1
409	价	價	jià	jia	4
410	花	花	huā	hua	1
411	党	黨	dǎng	dang	3
412	华	華	huá	hua	2
413	城	城	chéng	cheng	2
414	石	石	shí	shi	2
415	级	級	jí	ji	2
416	整	整	zhěng	zheng	3
417	府	府	fǔ	fu	3
418	离	離	lí	li	2
419	况	況	kuàng	kuang	4
420	亚	亞	yà	ya	4
421	请	請	qǐng	qing	3
422	技	技	jì	ji	4
423	际	際	jì	ji	4
424	约	約	yuē	yue	1
425	示	示	shì	shi	4
426	复	復	fù	fu	4
427	病	病	bìng	bing	4
428	息	息	xī	xi	1
429	究	究	jiū	jiu	1
430	线	線	xiàn	xian	4
431	似	似	shì	shi	4
432	官	官	guān	guan	1
433	火	火	huǒ	huo	3
434	断	斷	duàn	duan	4
435	精	精	jīng	jing	1
436	满	滿	mǎn	man	3
437	支	支	zhī	zhi	1
438	视	視	shì	shi	4
439	消	消	xiāo	xiao	1
440	越	越	yuè	yue	4
441	器	器	qì	qi	4
442	容	容	róng	rong	2
443	照	照	zhào	zhao	4
444	须	須	xū	xu	1
445	九	九	jiǔ	jiu	3
446	增	增	zēng	zeng	1
447	研	研	yán	yan	2
448	写	寫	xiě	xie	3
449	称	稱	chēng	cheng	1
450	企	企	qǐ	qi	3
451	八	八	bā	ba	1
452	功	功	gōng	gong	1
453	吗	嗎	ma	ma	5
454	包	包	bāo	bao	1
455	片	片	piàn	pian	4
456	史	史	shǐ	shi	3
457	委	委	wěi	wei	3
458	乎	乎	hū	hu	1
459	查	查	chá	cha	2
460	轻	輕	qīng	qing	1
461	易	易	yì	yi	4
462	早	早	zǎo	zao	3
463	曾	曾	céng	ceng	2
464	除	除	chú	chu	2
465	农	農	nóng	nong	2
466	找	找	zhǎo	zhao	3
467	装	裝	zhuāng	zhuang	1
468	广	廣	guǎng	guang	3
469	显	顯	xiǎn	xian	3
470	吧	吧	ba	ba	5
471	阿	阿	ā	a	1
472	李	李	lǐ	li	3
473	标	標	biāo	biao	1
474	谈	談	tán	tan	2
475	吃	喫	chī	chi	1
476	图	圖	tú	tu	2
477	念	念	niàn	nian	4
478	六	六	liù	liu	4
479	引	引	yǐn	yin	3
480	历	歷	lì	li	4
481	首	首	shǒu	shou	3
482	医	醫	yī	yi	1
483	局	局	jú	ju	2
484	突	突	tū	tu	1
485	专	專	zhuān	zhuan	1
486	费	費	fèi	fei	4
487	号	號	hào	hao	4
488	尽	盡	jǐn	jin	3
489	另	另	lìng	ling	4
490	周	周	zhōu	zhou	1
491	较	較	jiào	jiao	4
492	注	注	zhù	zhu	4
493	语	語	yǔ	yu	3
494	仅	僅	jǐn	jin	3
495	考	考	kǎo	kao	3
496	落	落	luò	luo	4
497	青	青	qīng	qing	1
498	随	隨	suí	sui	2
499	选	選	xuǎn	xuan	3
500	列	列	liè	lie	4
501	武	武	wǔ	wu	3
502	红	紅	hóng	hong	2
503	响	響	xiǎng	xiang	3
504	虽	雖	suī	sui	1
505	推	推	tuī	tui	1
506	势	勢	shì	shi	4
507	参	參	cān	can	1
508	希	希	xī	xi	1
509	古	古	gǔ	gu	3
510	众	衆	zhòng	zhong	4
511	构	構	gòu	gou	4
512	房	房	fáng	fang	2
513	半	半	bàn	ban	4
514	节	節	jié	jie	2
515	土	土	tǔ	tu	3
516	投	投	tóu	tou	2
517	某	某	mǒu	mou	3
518	案	案	àn	an	4
519	黑	黑	hēi	hei	1
520	维	維	wéi	wei	2
521	革	革	gé	ge	2
522	划	劃	huà	hua	4
523	敌	敵	dí	di	2
524	致	致	zhì	zhi	4
525	陈	陳	chén	chen	2
526	律	律	lǜ	lü	4
527	足	足	zú	zu	2
528	态	態	tài	tai	4
529	护	護	hù	hu	4
530	七	七	qī	qi	1
531	兴	興	xìng	xing	4
532	派	派	pài	pai	4
533	孩	孩	hái	hai	2
534	验	驗	yàn	yan	4
535	责	責	zé	ze	2
536	营	營	yíng	ying	2
537	星	星	xīng	xing	1
538	够	夠	gòu	gou	4
539	章	章	zhāng	zhang	1
540	音	音	yīn	yin	1
541	跟	跟	gēn	gen	1
542	志	志	zhì	zhi	4
543	底	底	dǐ	di	3
544	站	站	zhàn	zhan	4
545	严	嚴	yán	yan	2
546	巴	巴	bā	ba	1
547	例	例	lì	li	4
548	防	防	fáng	fang	2
549	族	族	zú	zu	2
550	供	供	gōng	gong	1
551	效	效	xiào	xiao	4
552	续	續	xù	xu	4
553	施	施	shī	shi	1
554	留	留	liú	liu	2
555	讲	講	jiǎng	jiang	3
556	型	型	xíng	xing	2
557	料	料	liào	liao	4
558	终	終	zhōng	zhong	1
559	答	答	dá	da	2
560	紧	緊	jǐn	jin	3
561	黄	黃	huáng	huang	2
562	绝	絕	jué	jue	2
